show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,description
s1378,TV Show,Outlander,NaN,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie",United States,"January 27, 2021",2018,TV-MA,4 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Dramas",This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
s1381,TV Show,Go Dog Go,NaN,"Michela Luci, Callum Shoniker, Lyon Smith, Tajja Isen, Anand Rajaram, David Berni, Linda Ballantyne, Joshua Graham, Patrick McKenna, Judy Marshak, Martin Roach, Katie Griffin","United States, United Kingdom","January 26, 2021",2021,TV-Y,1 Season,Kids' TV,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way."
s1385,TV Show,Busted!,NaN,"Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong",South Korea,"January 22, 2021",2021,TV-14,3 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?"
s1386,TV Show,Demon Slayer: Kimetsu no Yaiba,NaN,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Nobuhiko Okamoto, Toshiyuki Morikawa, Aoi Yuki, Shiori Izawa, Daisuke Namikawa, Takumi Yamazaki, Hikaru Midorikawa, Takehito Koyasu",Japan,"January 22, 2021",2019,TV-14,1 Season,"Anime Series, International TV Shows","After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
s1393,TV Show,Daughter From Another Mother,NaN,"Ludwika Paleta, Paulina Goto, Martín Altomaro, Liz Gallardo, Javier Ponce, Oka Giner, Zaide Silvia Gutiérrez, Dalexa Meneses, Emilio Beltrán Ulrich, Fernando Memije, Elena del Río, Christian Chávez",Mexico,"January 20, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies","After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family."
s1396,TV Show,Hello Ninja,NaN,"Lukas Engel, Zoey Siewert, Sam Vincent, Mayumi Yoshida",United States,"January 19, 2021",2021,TV-Y,4 Seasons,Kids' TV,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day."
s1402,TV Show,Carmen Sandiego,NaN,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",United States,"January 15, 2021",2021,TV-Y7,4 Seasons,"Kids' TV, TV Thrillers","A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks."
s1403,TV Show,Disenchantment,NaN,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West",United States,"January 15, 2021",2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals."
s1405,TV Show,Henry Danger,NaN,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen",United States,"January 15, 2021",2016,TV-G,3 Seasons,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."
s1409,TV Show,The Magicians,NaN,"Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn","United States, Canada","January 15, 2021",2020,TV-MA,5 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real."
s1420,TV Show,Last Tango in Halifax,Juliet May,"Derek Jacobi, Anne Reid, Sarah Lancashire, Nicola Walker, Edward Ashley, Louis Greatorex, Josh Bolt",United Kingdom,"January 12, 2021",2020,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas",Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.
s1428,TV Show,Inside the World’s Toughest Prisons,NaN,Paul Connolly,United Kingdom,"January 8, 2021",2021,TV-MA,5 Seasons,"British TV Shows, Crime TV Shows, Docuseries","Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule."
s1430,TV Show,Mighty Little Bheem: Kite Festival,NaN,"Sumruddhi Shukla, Aranya Kaur, Nishka Raheja",India,"January 8, 2021",2021,TV-Y,1 Season,"Kids' TV, TV Comedies","With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival."
s1431,TV Show,Pretend It’s a City,NaN,Fran Lebowitz,United States,"January 8, 2021",2021,TV-14,1 Season,Docuseries,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese."
s1433,TV Show,The Idhun Chronicles,Maite Ruiz De Austri,"Michelle Jenner, Itzan Escamilla, Sergio Mur, Nico Romero, Carlos Cuevas",Spain,"January 8, 2021",2021,TV-14,2 Seasons,"Anime Series, International TV Shows, Spanish-Language TV Shows","A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder."
s1440,TV Show,History of Swear Words,NaN,Nicolas Cage,United States,"January 5, 2021",2021,TV-MA,1 Season,"Docuseries, TV Comedies","Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words."
s1441,TV Show,Nailed It! Mexico,NaN,"Omar Chaparro, Anna Ruiz","Mexico, United States","January 5, 2021",2021,TV-PG,3 Seasons,"International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize."
s1449,TV Show,Cobra Kai,NaN,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,"January 1, 2021",2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas","Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
s1456,TV Show,Headspace Guide to Meditation,NaN,Andy Puddicombe,United States,"January 1, 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice."
s1458,TV Show,Jenni Rivera: Mariposa de Barrio,NaN,"Angélica Celaya, Gabriel Porras, Rosalinda Rodríguez, Samadhi Zendejas, Tony Garza, Regina Orquín, Enrique Montaño, Adrián Carvajal, Emmanuel Morales, Adriano Zendejas, Xavier Ruvalcaba, Raúl Sandoval, Mauricio Novoa, Uriel del Toro, Ana Wolfermann, Stephanie Arcila, Vanessa Pose, Alma Matrecito",United States,"January 1, 2021",2017,TV-MA,1 Season,"Spanish-Language TV Shows, TV Dramas",This drama follows Mexican-American singer Jenni Rivera's unlikely rise from suicidal pregnant teen and abused wife to banda superstar.
s1461,TV Show,Monarca,NaN,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,"January 1, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets."
s1464,TV Show,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt","Canada, United Kingdom, United States","January 1, 2021",2014,TV-Y,1 Season,Kids' TV,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!"
s1466,TV Show,The Haunted Hathaways,NaN,"Amber Frank, Curtis Harris, Benjamin Flores Jr., Breanna Yde, Ginifer King, Chico Benymon",United States,"January 1, 2021",2013,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.
s1474,TV Show,Chilling Adventures of Sabrina,NaN,"Kiernan Shipka, Ross Lynch, Miranda Otto, Lucy Davis, Chance Perdomo, Michelle Gomez, Richard Coyle, Jaz Sinclair, Lachlan Watson, Tati Gabrielle, Adeline Rudolph, Abigail Cowen, Gavin Leatherwood, Bronson Pinchot",United States,"December 31, 2020",2020,TV-14,4 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
s1477,TV Show,Best Leftovers Ever!,NaN,"Jackie Tohn, David So, Rosemary Shrager",United States,"December 30, 2020",2020,TV-G,1 Season,Reality TV,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
s1478,TV Show,Dare Me,NaN,"Willa Fitzgerald, Herizen Guardiola, Marlo Kelly, Rob Heaps, Zach Roerig, Paul Fitzgerald, Alison Thornton, Tammy Blanchard, Amanda Brugel, Chris Zylka",United States,"December 30, 2020",2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers","Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy."
s1479,TV Show,Equinox,NaN,"Danica Curcic, Karoline Hamm, Viola Martinsen, Lars Brygmann, Hanne Hedelund, August Issac Carter, Fanny Leander Bornedal, Ask Mossberg Truelsen, Peder Holm Johansen, Alexandre Willaume, Susanne Storm, Andrea Engelsmann Persson, Thomas Chaanhing, Morten Hauch-Fausbøll, Eskil Tonnesen","Denmark, United States","December 30, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Mysteries, TV Thrillers","Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth."
s1481,TV Show,Still Game,NaN,"Ford Kiernan, Paul Riley, Jane McCarry, Greg Hemphill, Mark Cox, Gavin Mitchell, Sanjeev Kohli",United Kingdom,"December 30, 2020",2018,TV-14,9 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb."
s1484,TV Show,A Love So Beautiful,NaN,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won",South Korea,"December 28, 2020",2020,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
s1488,TV Show,Sakho & Mangane,NaN,"Issaka Sawadogo, Yann Gael, Christiane Dumont, Fatou-Elise Ba, Khalima Gadji, Ricky Tribord, Ndiaga Mbow, Christophe Guybet",Senegal,"December 27, 2020",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A by-the-book police captain and a brash young detective must team up to take on the supernatural when strange forces begin to wreak havoc on Dakar.
s1493,TV Show,Bridgerton,NaN,"Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker",United States,"December 25, 2020",2020,TV-MA,1 Season,"Romantic TV Shows, TV Dramas",The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.
s1504,TV Show,Lovestruck in the City,NaN,"Ji Chang-wook, Kim Ji-won, Kim Min-seok, Han Ji-eun, Ryu Gyeong-soo, So Joo-yeon",South Korea,"December 22, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul."
s1506,TV Show,Rhyme Time Town Singalongs,NaN,"Luke Amis, Annabelle Westenholz-Smith, Maddie Evans, Jude Muir, Hannah Jane Fox, Rhashan Stone",United States,"December 22, 2020",2020,TV-Y,1 Season,Kids' TV,"Love snackable, snap-worthy songs? Sing along with the Rhyme Time Town friends as they use their imaginations and flex their problem-solving skills!"
s1507,TV Show,Shaun the Sheep,NaN,"John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen","United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland","December 22, 2020",2016,TV-Y,2 Seasons,"British TV Shows, Kids' TV, TV Comedies","Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley."
s1509,TV Show,Timmy Time,NaN,"Kate Harbour, Justin Fletcher, Louis Jones",United Kingdom,"December 22, 2020",2010,TV-Y,1 Season,"British TV Shows, Kids' TV","This delightful animated series centers on impish lamb Timmy as he enters nursery school, where he learns about sharing, responsibility and fairness."
s1515,TV Show,Diamond City,NaN,"Noxee Maqashalala, Angela Sithole, Nambitha Ben-Mazwi, Thabang Molaba, Lehlohonolo Makoko, Ilse Klink, Makgano Mamabolo, Tshepo Maseko",South Africa,"December 18, 2020",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A prominent prosecuting attorney must defend her innocence — and her life — when she's set up and sent to prison as she investigates a conspiracy.
s1517,TV Show,Home for Christmas,NaN,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen",Norway,"December 18, 2020",2020,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas."
s1521,TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran","Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran",India,"December 18, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas","At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way."
s1529,TV Show,Run On,NaN,"Yim Si-wan, Shin Sae-kyeong, Choi Soo-young, Kang Tae-oh, Park Yeong-gyu, Cha Hwa-yeon, Lee Bong-ryeon, Ryu Abell, Seo Jae-hee, Yeon Je-wook, Choi Jae-hyun, Lee Jeong-ha, Park Sung-jun, Lee Hwang-eui, Lee Shin-ki, Kim Dong-yeong, Kim Si-eun, Kim Si-young",South Korea,"December 17, 2020",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life."
s1531,TV Show,Schulz Saves America,Alexx Media,Andrew Schulz,United States,"December 17, 2020",2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
s1533,TV Show,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington",Anitta,Brazil,"December 16, 2020",2020,TV-MA,1 Season,"Docuseries, International TV Shows","In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits."
s1539,TV Show,Marvel Anime: Wolverine,NaN,"Rikiya Koyama, Romi Park, Fumiko Orikasa, Hidekatsu Shibata, Kazuki Yao, Masato Hagiwara","United States, Japan","December 16, 2020",2011,TV-14,1 Season,"Anime Series, International TV Shows","Logan, aka mutant X-Man Wolverine, is on a quest to reclaim the love of his life – whose crime lord father is planning an arranged marriage for her."
s1540,TV Show,Marvel Anime: X-Men,NaN,"Toshiyuki Morikawa, Rikiya Koyama, Katsunosuke Hori, Aya Hisakawa, Kaori Yamagata, Yoshiko Sakakibara, Yurika Hino, Yukari Tamura, Hideyuki Tanaka",Japan,"December 16, 2020",2011,TV-14,1 Season,"Anime Series, International TV Shows","A year after their dissolution, the X-Men are re-assembled by Professor Charles Xavier to investigate the kidnapping of young mutants in Japan."
s1544,TV Show,Black Ink Crew New York,NaN,"Ceaser Emanuel, Dutchess Lattimore, Puma Robinson, Alex Estevez, Sassy Bermudez",United States,"December 15, 2020",2014,TV-14,2 Seasons,Reality TV,"At a Black-owned-and-operated hotspot for ink in Harlem, tattoo king Ceaser looks to expand his empire while working with a rambunctious crew."
s1546,TV Show,Pup Academy,NaN,"Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell",United States,"December 15, 2020",2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies","Furry friends take a re-bark-able journey in this series about an extraordinary school for the cutest, cuddliest and most curious puppies."
s1547,TV Show,Song Exploder,NaN,Hrishikesh Hirway,United States,"December 15, 2020",2020,TV-MA,2 Seasons,Docuseries,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.
s1548,TV Show,Teen Mom 2,NaN,"Jenelle Evans, Chelsea Houska, Kailyn Lowry, Leah Messer",United States,"December 15, 2020",2011,TV-14,2 Seasons,Reality TV,"The highs and lows of new parenting and adulting create drama and heartbreak as life moves on for the cast of ""16 and Pregnant"" Season 2."
s1549,TV Show,The Challenge,NaN,"Jamie Chung, Landon Lueck, Diem Brown, Mike 'The Miz' Mizanin, Darrell Taylor, Wes Bergmann, Jodi Weatherton, Brad Fiorenza, Cara Maria Sorbello, Zachary Nichols, Turabi ""Turbo"" Çamkıran, Theo Campbell",United States,"December 15, 2020",2006,TV-14,2 Seasons,Reality TV,Reality show alumni must compete in grueling physical contests and survive eliminations amid cutthroat alliances and steamy hookups to win big money.
s1552,TV Show,Hilda,NaN,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","December 14, 2020",2021,TV-Y7,2 Seasons,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
s1553,TV Show,Tiny Pretty Things,NaN,"Lauren Holly, Kylie Jefferson, Casimere Jollette, Brennan Clost, Barton Cowperthwaite, Bayardo De Murguia, Damon J. Gillespie, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Tory Trowbridge",United States,"December 14, 2020",2020,TV-MA,1 Season,"TV Dramas, TV Mysteries, TV Thrillers","When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal — and cutthroat competition."
s1555,TV Show,Children of Adam,NaN,"Maguy Bou Ghosn, Daniella Rahme, Maxim Khalil, Qays Sheikh Najib, Mohamed Yaghy, Rodney Haddad, Nada Abou Farhat",Lebanon,"December 12, 2020",2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Amid crime and corruption, the lives of two couples intertwine as unexpected events soon reveal their dark secrets and tainted pasts."
s1556,TV Show,Grizzy et les Lemmings,NaN,"Pierre-Alain de Garrigues, Josselin Charier",France,"December 12, 2020",2018,TV-Y,2 Seasons,"Kids' TV, TV Comedies","Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings."
s1560,TV Show,The Mess You Leave Behind,NaN,"Inma Cuesta, Bárbara Lennie, Tamar Novas, Arón Piper, Roberto Enríquez, Roque Ruíz, Isabel Garrido, Fede Pérez, Alfonso Agra, Susana Dans, Xavier Estévez, Xosé Antonio Touriñán, María Tasende, Camila Bossa, María Costas, Abril Zamora, Chelo Falcón, Ana Santos, Mela Casal, César Cambeiro",Spain,"December 11, 2020",2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A teacher starts her job at a high school but is haunted by a suspicious death that occurred there weeks before... and begins fearing for her own life.
s1563,TV Show,Alice in Borderland,NaN,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",Japan,"December 10, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries","An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive."
s1570,TV Show,Masameer Classics,NaN,"Malik Nejer, Abdulaziz Alshehri",Saudi Arabia,"December 9, 2020",2013,TV-14,4 Seasons,"International TV Shows, TV Comedies","Through dark comedy and eccentric characters, this web series offers a humorous view of the changes and cultural shifts in Saudi Arabia from 2011-2019."
s1571,TV Show,Once Upon a Time,NaN,"Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif",Egypt,"December 9, 2020",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist."
s1573,TV Show,The Big Show Show,NaN,"Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld",United States,"December 9, 2020",2020,TV-G,2 Seasons,"Kids' TV, TV Comedies",Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.
s1574,TV Show,The Expanding Universe of Ashley Garcia,NaN,"Paulina Chávez, Jencarlos Canela",United States,"December 9, 2020",2020,TV-PG,3 Seasons,"Kids' TV, TV Comedies, Teen TV Shows",15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.
s1579,TV Show,Juman,NaN,"Nour Al Ghandour, Muhanad Al-Hamdi, Huda El Khateib, Hassan Ibrahim, Abdullah Al-Turkumani, Nasser Kermani, Foaz Al -Shatti, Muhammad Al Dousari, Ahmed El Hozeem, Ghorour, Fatma Al Tabbakh",Kuwait,"December 8, 2020",2019,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Despite their estranged families, Juman and Hisham fall in love and get married but their different outlooks on life soon threaten their relationship."
s1580,TV Show,Mr. Iglesias,NaN,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez",United States,"December 8, 2020",2020,TV-14,3 Seasons,"TV Comedies, Teen TV Shows",Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.
s1584,TV Show,100 Days My Prince,NaN,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,"December 7, 2020",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
s1588,TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han",Taiwan,"December 5, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.
s1590,TV Show,Bhaag Beanie Bhaag,NaN,"Swara Bhasker, Dolly Singh, Ravi Patel, Varun Thakur, Mona Ambegaonkar, Girish Kulkarni",India,"December 4, 2020",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up."
s1591,TV Show,Big Mouth,NaN,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele",United States,"December 4, 2020",2020,TV-MA,4 Seasons,TV Comedies,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.
s1594,TV Show,Kings of Jo'Burg,NaN,"Shona Ferguson, Zolisa Xaluva, Tsholofelo Matshaba, Sello Sebotsane, Buhle Samuels, Thembi Seete, TK Sebothoma, Cindy Mahlangu, Lunathi Mampofu, Abdul Khoza, Connie Ferguson",South Africa,"December 4, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","The Masire brothers rule Johannesburg's criminal underworld, but a supernatural family curse and a tangled web of betrayal threaten to destroy them."
s1606,TV Show,Check The Store Next Door: The Next Chapter,NaN,"Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong",Indonesia,"December 2, 2020",2020,TV-14,2 Seasons,"International TV Shows, TV Comedies, TV Dramas","When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees."
s1612,TV Show,Are You The One,NaN,Ryan Devlin,United States,"December 1, 2020",2014,TV-14,2 Seasons,Reality TV,"Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize."
s1615,TV Show,Gormiti,NaN,"Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin","Spain, Italy","December 1, 2020",2018,TV-Y,1 Season,Kids' TV,Four friends become guardians of the island Gorm and must harness powers of the elements to stop an evil lord and his army from ruling the kingdom.
s1616,TV Show,Ink Master,NaN,"Dave Navarro, Chris Nuñez, Oliver Peck",United States,"December 1, 2020",2012,TV-14,2 Seasons,Reality TV,"Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition."
s1619,TV Show,Octonauts,NaN,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India","December 1, 2020",2015,TV-Y,4 Seasons,"British TV Shows, Kids' TV",A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
s1620,TV Show,Oddbods,NaN,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi","United Kingdom, Singapore","December 1, 2020",2017,TV-Y,1 Season,"Kids' TV, TV Comedies","Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief."
